"j","k","method","ISE_MC"
4,7,"NW",0.00488492711081942
4,10,"LL",0.000284547174195898
4,10,"NW",0.00290258546010837
4,14,"LL",0.000237550255113546
4,14,"NW",0.0011852204808432
4,20,"LL",0.000154131001869132
4,20,"NW",0.00174798370935125
5,7,"LL",0.000956655457817928
5,7,"NW",0.0178540901448806
5,10,"LL",0.000961963176223877
5,10,"NW",0.0189421387666071
5,14,"LL",0.000328498685343636
5,14,"NW",0.0124409816993694
5,20,"LL",0.00029193198199583
5,20,"NW",0.00802971387200596
6,7,"LL",0.000265190648656696
6,7,"NW",0.00529695131490444
6,10,"LL",0.000300164042237728
6,10,"NW",0.00606850599133597
6,14,"LL",0.000186877249708527
6,14,"NW",0.00487097765759457
6,20,"LL",0.000107377654526461
6,20,"NW",0.00503239259267521
1,7,"LL",0.000172664663121107
1,7,"NW",0.000578111249618347
1,10,"LL",3.47471489652777e-05
1,10,"NW",0.000322686118353208
1,14,"LL",2.86365455005465e-05
1,14,"NW",0.000339862573444951
1,20,"LL",2.52675696090399e-05
1,20,"NW",0.000245262980553333
2,7,"LL",3.64006174366789e-05
2,7,"NW",0.0010303892597151
2,10,"LL",4.5155056782523e-05
2,10,"NW",0.000733921152724113
2,14,"LL",1.94845960756577e-05
2,14,"NW",0.00109266852379168
2,20,"LL",1.21622898451555e-05
2,20,"NW",0.000647331142527034
3,7,"LL",0.000378362092665196
3,7,"NW",0.0061510203872058
3,10,"LL",0.000148260875349634
3,10,"NW",0.00274557276236691
3,14,"LL",9.82155348005201e-05
3,14,"NW",0.00396066185310072
3,20,"LL",5.0845296427474e-05
3,20,"NW",0.00284825273993988
4,7,"LL",0.000544425813325909
4,7,"NW",0.00378274977254369
4,10,"LL",0.000296123802033053
4,10,"NW",0.00353458309683259
4,14,"LL",0.000218106172756235
4,14,"NW",0.00266883877958716
4,20,"LL",0.00014619088708867
4,20,"NW",0.00321812847110794
5,7,"LL",0.00118507530617037
5,7,"NW",0.0119148885247362
5,10,"LL",0.000786191407968711
5,10,"NW",0.00788209571139699
5,14,"LL",0.000436633434384488
5,14,"NW",0.00871188895144698
5,20,"LL",0.000288469897517567
5,20,"NW",0.00601527632745959
6,7,"LL",0.00107822115125151
6,7,"NW",0.0103867422541372
6,10,"LL",0.00029432535169418
6,10,"NW",0.00940733398833602
6,14,"LL",0.000210463299063956
6,14,"NW",0.00581649904379624
6,20,"LL",0.000115766672547018
6,20,"NW",0.00680903908054682
1,7,"LL",5.63479076635596e-05
1,7,"NW",0.000435175337488113
1,10,"LL",5.07405844754047e-05
1,10,"NW",0.000348635411333318
1,14,"LL",3.32430347038575e-05
1,14,"NW",0.000196552865015405
1,20,"LL",2.4501160864134e-05
1,20,"NW",0.000264561130075898
2,7,"LL",8.63871432130929e-05
2,7,"NW",0.00141832253737852
2,10,"LL",3.3765419593775e-05
2,10,"NW",0.00103324677647902
2,14,"LL",1.7977620057208e-05
2,14,"NW",0.000902010534863358
2,20,"LL",1.26721441572793e-05
2,20,"NW",0.000849456801173722
3,7,"LL",0.000221894923551368
3,7,"NW",0.00352416241003874
3,10,"LL",0.000133511989302882
3,10,"NW",0.00390007502937119
3,14,"LL",9.37693281738978e-05
3,14,"NW",0.00309934010285701
3,20,"LL",7.46084813775443e-05
3,20,"NW",0.00243989335787558
4,7,"LL",0.000839118407427491
4,7,"NW",0.00584032264723709
4,10,"LL",0.000289038164445912
4,10,"NW",0.00411963084686624
4,14,"LL",0.000222280240964868
4,14,"NW",0.00303877811445952
4,20,"LL",0.000132810075312708
4,20,"NW",0.0020714911303012
5,7,"LL",0.001052473894777
5,7,"NW",0.0191678333315668
5,10,"LL",0.00127352080512742
5,10,"NW",0.0135592194520575
5,14,"LL",0.000418394751423324
5,14,"NW",0.00781472829172241
5,20,"LL",0.000270606228240573
5,20,"NW",0.00849843612376692
6,7,"LL",0.000806712157055704
6,7,"NW",0.00633145606555495
6,10,"LL",0.00035623328922262
6,10,"NW",0.00625024760557048
6,14,"LL",0.000190600193903545
6,14,"NW",0.00525931964011395
6,20,"LL",0.000104473378578549
6,20,"NW",0.00558825979209955
1,7,"LL",9.71103702218945e-05
1,7,"NW",0.00046963195910172
1,10,"LL",5.03161881318146e-05
1,10,"NW",0.000306909939363445
1,14,"LL",3.35720238677582e-05
1,14,"NW",0.000230118720002481
1,20,"LL",2.82561387288854e-05
1,20,"NW",0.00028196522664668
2,7,"LL",4.3809678363922e-05
2,7,"NW",0.00104520030239005
2,10,"LL",3.12784222767688e-05
2,10,"NW",0.0011229764907824
2,14,"LL",2.26939244582613e-05
2,14,"NW",0.00088065226899789
2,20,"LL",1.07817441644919e-05
2,20,"NW",0.000841749146465088
3,7,"LL",0.000335935024576184
3,7,"NW",0.00570845374430513
3,10,"LL",0.000140616847791424
3,10,"NW",0.00285253081688529
